title,romurbital,unidentified
quattro tempietti,cures,cutina
arco di druso e germanico,curino,duronia
masion,dertona,empulum
kašjari,difesa san biagio,feritrum
kašiari,diria,ficolenses
musku,doganella,fistelia 
mušku,duronia ,forum decii
musk?ja,eburum,fresilia
mušk?ja,egnatia ,herculaneum 
phrygia,elea  ,interamnates
leucogaei fontes,eretum,korsoula
tall asmar,fabrateria nova,lanuenses 
išn?nah,fabrateria vetus  ,ligures corneliani
tell asmar,faesulae ,lista
thermes d'antonin,fagifulae,marouion
onoadas,falerii novi,mephyla
madaktu,falerii veteres,milionia
media ano,falerio,murgantia
orubicaria,fanum fortunae ,orouinion
gadamarga,faventia,palation
gadamarta,ferentinum ,panna
bazigraban,ferentium ,plestina
sabbatha,ferrazzano,plistia 
sabatha,fescennium,pollition
sabdata,ficana,regilla
badake,ficulea,sassula 
herakleia,fidenae,sirpium
sigriane,fidentiA,souna
darassa,fioccaglia di flumeri,syessola
darasa,firmum ,tadiates
darathe,florentia,tarina
rapsa,forcona,touxion
mihragan-kadag,forentum,urvi 
adrapanan,formiae,velia
adrapana,forum appii,vella
arteman,forum aurelii,venusia
kissia,forum cassii,viticini
kissie chore bet kussaye,forum claudii,beregra 
bakusaya,forum clodii,castellum firmanum 
pharaspa,forum cornelii,novana
shalmaneser gate,forum flaminii ,acerrae vafriae
d?ru-ša-lad?ni,forum fulvii valentinum,casuentum
b?t-karziabku,forum gallorum,clusiolum
karziabku,forum germa..,crinivolum
namr?k,forum livii,dola sallentina
nuragic sanctuary of santa vittoria,forum novum1,forum brentani/brentanorum 
burmageçit,forum novum2,forum iulii concupiensium 
?ixso,forum popili,larolon
bliznet?s?y,forum popilii,suillum
kazanc?,forum popillii,turocaelum vettiolum
g?d?n tapah,forum sempronii,vindina
qantara al-rum,forum vibi cabur,visuentum
qan?arat and?miš,fosso camponi,ametinum
dezf?l,fratte,amitienses 
dezful,fregellae,caprium
kangavar,fregenae,contenebra
concobar,frigento,cortuosa
media,frusino,ferentinum 
madaya,fulginiae ,fescennium
mad,fundi,herbanum
paraetacene,furfo,novem pagi 
masabadan,gabii,peithesa
massabatene,gallese,saperna 
karina,gallicchio vetere,subertani 
bagistana,genua,thezi/thezle
vastan,genusia,troilum 
baptana,ghiaccio forte,vesentini 
b?sut?n,ginosa,vesinica
hulwan,graviscae,crustumium 
valashfarr,grotta porciosa,forum clodi
beth lashpar,grotte di castro,forum druentinorum 
chala,grumentum,forum licini
albania,hasta,forum novanorum
chalonitis,hatria ,otesia
h?alwan,heba,padinates
syarazur,heraclea ,saltus galliani .. aquinates 
siasouron,herculaneum ,solonates
deru,herdoniae ,urbanates
beth daraya,hispellum,aliana
badra,histonium,carystum
tall ‘aq?r,horta,litubium
shapur khwast,hortona ,maielli
?orram?b?d,hydruntum ,segesta tigulliorum
š?p?r?v?st,i castiedd',kabom
?orram-?b?d,iguvium,larissa
?orram ?b?d,industria ,malies
ganjn?mah,interamna lirenas  ,palumbinum
kambadene,interamna nahars,phistelia
kampanda,interamnia praetuttiorum,planisium
kampada,iria ,vercellium
sambana,iuvanum,vercellium
caspiae portae,karbinai,
denabaran,kaulonia,
dinawar,la civitella,
iasonius m.,la giostra,
iasonion,la giurlanda,
nemavand,la rocca1,
laodicea,la rocca2,
niphaunda,la romana,
nih?vand,lanUVIum,
nihawand,laos ,
nih?wand,larinum,
nih?wand,laurelli,
m?h al-?asra,lavinium,
m?h al-ba?ra,le murella,
laodikeia,le murge,
neh?vand,lecce vecchio,
nih?wand,li castelli,
eran-khurra-kard- shapur,libarna,
eran-khurra- shapur,ligures baebiani ,
karkha de ladan,liternum,
gurbayigan,lokroi epizephyrioi ,
jurbadhakan,luca,
ecbatana,luceria ,
hagmatana,lucus feroniae ,
achmeta,luna,
epiphaneia,luni sul mignone,
ahmadan,lupia ,
h?gm?tana,madonna del vetere,
hamad?n,magliano sabina,
ham?dan,mamertion,
hamad?n,manduria ,
hama??n,maratta bassa,
h?m?d?n,marruvium,
agmatanu,marzabotto,
epiphaneia,masseria vincentino,
hamd?n,matilica,
?amdan,medma,
ekbatana,mesagne,
agbatana,mesula ,
ecbatanis partiorum,metapontum ,
hamad?n,mevania,
mihragan kadag,mevaniola,
eran-asan-kar-kavad,minturnae,
malaver,misenum,
goyman,montagna di gildone,
kumandan,montarice,
eran-vinard-kavad,monte acero,
