title,romurbital,unidentified
alandrus,,
abozenos,,
agathonos mandrai,,
ammiteanoi,,
aezenoi,,
ammoniatai,,
ad vicum,,
agkira,,
abeiktenoi,,
kas?m o?lu,,
h? plateîa,,
pikilis,,
tomb of puyemre tt39,,
nuraghe conca niedda,,
cisterna di largo zucchi,,
odeon at kom el-dikka,,
odeum at kom el-dikka,,
al-madraj al-rumani,,
theatre of kom el-dikka,,
small theatre,,
carpis,,
araros,,
eušumgalana,,
ekišibgalekura,,
enirgalana,,
apokome,,
apo,,
acoridos kome,,
senarus,,
[p]okometon,,
preiountoi,,
syneon,,
alsenos,,
manopedion,,
kereurenoi,,
eordoi,,
marozenoi,,
mandri fontes,,
oikokome,,
bennisoa,,
benneueke,,
olympos m.,,
mantalios as anthroponym,,
mantalios,,
aulocrene,,
rhocrini fontes,,
alandri fontes,,
orbas,,
tylissou,,
orgala,,
akleanoi,,
saruendenos,,
auadioi,,
roiate,,
lago del matese,,
jisr damiya,,
jisr ed-damiye,,
damiyah bridge,,
prince muhammad bridge,,
gesher adam,,
regio ix degli scavi archeologici di pompei,,
hyrkania,,
kastellion,,
gazaion limen,,
constantia,,
neapolis,,
lysa,,
hebron,,
hevron,,
tel hebron,,
na'aran,,
neara,,
noorath,,
moza,,
ammaous,,
kolonia,,
pegai,,
antipatris,,
arethousa,,
tel afek,,
kapparetaia,,
gaza,,
?azza,,
?azz?,,
?azz?,,
col. g.,,
?azza,,
?azzat,,
gaza,,
hazzatu,,
kardytos,,
kadytis,,
hazatu,,
colonia g.,,
hazitti,,
haziti,,
hazzutu,,
hasutu,,
hazzat?ja,,
hazat?ja,,
iudaea,,
ioudaia,,
jaudu,,
jaud?ja,,
mampsis,,
maioma ascalonitis,,
gedros,,
kedron,,
lobana,,
hadid,,
addida,,
adida,,
aditha,,
tel hadid,,
masada,,
mezada,,
moasada,,
iethira,,
ono,,
gerra,,
maon,,
menoeis,,
castrum moenoenum,,
menoida,,
menochia,,
isana,,
iamneia,,
yavneh,,
iordanes amnis,,
iordan?s,,
jordan,,
flumen jordanis,,
nahr al-urdunn,,
yrdn,,
al-urdunn,,
al-urdun,,
ha-yard?n,,
ha-yard?n,,
ha-yard?n,,
yard?n,,
y-r-d-n,,
maon,,
kypros,,
threx,,
gerasimos,,
ierusalem,,
hierosolyma,,
col. aelia capitolina,,
colonia aelia capitolina,,
ailia,,
aelia capitolina,,
y?rušalayim,,
y?r?šalayim,,
y?r?š?layim,,
?liy??,,
?liy?,,
quds-e šer?f,,
quds-i šer?f,,
bait al-maqdis,,
ursalimmu,,
jerusalem,,
jerusalem,,
ierousal?m,,
yrwšlm,,
al-quds,,
quds-i šar?f,,
al quds,,
quds,,
urusalim,,
y?ruš?layim,,
y?ruš?layim,,
megiste laura saba,,
dayr mar saba,,
lydda,,
diospolis,,
georgioupolis,,
lod,,
gazara,,
gezer,,
gazru,,
gezer,,
ostrakine,,
negev,,
gerar,,
tel haror,,
idumaea,,
ioppe,,
yafo,,
iope,,
joppe,,
jaffa,,
flavia ioppa,,
yapp?,,
yapu,,
jappû,,
jappu,,
japhe,,
iapha,,
ypy,,
y?f?,,
y?f?,,
y?f?-tall-ab?b,,
yafa,,
yaf?,,
y?fa,,
y?fo,,
y?fo,,
yfy,,
jafa,,
jaffa,,
jaffa sud,,
j?fo,,
?el aviv-y?fo,,
marisa,,
maresha,,
nessana,,
nizana,,
auja hafir,,
martyrios,,
ietta,,
iutta,,
iamneia paralios,,
yavneh yam,,
lachish,,
pleiades,,
kiriath ye'arim,,
kariathiareim,,
gophna,,
orda,,
rujum el-marqab,,
malatha,,
palaestina,,
hierichous,,
hierico,,
tall as-sul??n,,
ar???,,
ar???,,
ar??a,,
ar-ri??,,
r?h?,,
?ain as-sul??n,,
ierichous,,
ierich?,,
jerico,,
m? y?ri?o,,
fons helisaei,,
fons helisaei,,
hierich?,,
hierichous,,
y?ri?o,,
y?ri?o,,
y?ri?o,,
jericho,,
jericho,,
hagiou elisaiou,,
hagiou elisaiou,,
jericho,,
gamzo,,
gabaon,,
gibeon,,
giv'on,,
gi??ôn,,
machmas,,
jabal al-fureidis,,
herodium,,
herodeion,,
herodium,,
maledomnei,,
ma'ale adummim,,
kalgouia,,
modiin,,
donatim,,
caphar ruta,,
archelais,,
beer sheva,,
berosaba,,
bersabe,,
tel be'er sheva,,
be'er sheva,,
tel be'er sheva,,
bethaphou,,
boutaphion,,
engaddai,,
en-gedi,,
douma,,
douka,,
dok,,
bethar,,
bethther,,
adora,,
bene beraq,,
ekron,,
akkaron,,
caphar zacharia,,
anthedon,,
agrippias,,
aialon,,
bethlehem,,
en rimmon,,
eremmon,,
deir mar jirys,,
deir mar jiryis,,
choziba,,
betomolachon,,
aser,,
euthymios,,
akraba,,
akkrabein,,
bethoron anotera,,
ashqelon,,
ascalon,,
?irbat mi?dalit,,
t?l ašq?lon,,
askalon,,
al-??ra,,
peleia,,
ma?dal,,
al-ma?dal,,
colonia a.,,
ašk?lon,,
askel?n,,
sariphaia,,
migdal g?d,,
tall ?asqal?n,,
afridar,,
afrid?r,,
??qln,,
?asqal?n,,
ašqaluna,,
ašq?lon,,
ašq?lon,,
ašq?lon,,
ašq?lon barn?a?,,
diokl?tianoupolis,,
isqal?na,,
ascalon,,
?irbat mu??dil?t,,
ashkalon,,
isqall?na,,
išqal?ni,,
asqal?n?ja,,
isqal?n?ja,,
isqalluna,,
eshthemoa,,
beth govrin,,
eleutheropolis,,
arous,,
chariton,,
souka,,
anaia 1,,
bethoron katotera,,
beth zur,,
bethsoura,,
al-karmil,,
chermela,,
carmel,,
azotos paralios,,
asd?dimmu,,
bethletepha,,
pella,,
ephraim,,
apheraima,,
daroma,,
ashdod,,
azotos mesogeios,,
azotos,,
hippenos,,
asd?du,,
asd?d?ja,,
sad?d?ja,,
sid?d?ja,,
ashdod,,
ashd?d,,
isdud,,
birsama,,
casius mons,,
anouath borkeos,,
adollam,,
cadesh barnea,,
eboda,,
oboda,,
avdat,,
emmaus,,
nicopolis,,
beth dagon,,
caphar dagon,,
b?t-daganna,,
b?t-dag?n,,
aphekou pyrgos,,
elousa,,
caphar baricha,,
anaia 2,,
bitylion,,
kuntillet 'ajrud,,
kuntillat jurayyah,,
nuraghe lugherras,,
k?n?r?,,
ku?saray,,
abul hand?ri,,
šarur-mušamqit-ayy?b-šarri,,
handuru gate,,
socho,,
socho,,
sochoh,,
s?ch?,,
sokch?th,,
soch?th,,
h?orvot sokho,,
khirbet 'abbad,,
khirbet shuweikah,,
serbonitis lacus,,
sirbonis limne,,
buhayrat al bardawil,,
lake bardawil,,
selebi,,
silo,,
sartaba,,
alexandreion,,
thamara,,
phasaelis,,
raphia,,
rafiah,,
rapihu,,
theoktistos,,
theodosios,,
ramathaim,,
arimathaia,,
tel h?alif,,
thala,,
sapharea,,
soudanon,,
saltus gerariticus,,
thamna,,
rhinocolura,,
el-arish,,
al-?ar?š,,
al-?ar?š,,
?l-?ar?š,,
?ngrn,,
laris,,
rhinokoloura,,
rhinokoroura,,
thekoa,,
teqoa,,
sykomazon,,
saltus constantinianus,,
sobila,,
sobata,,
shephela,,
ziph,,
rocca san silvestro,,
villa arianna,,
villa san marco,,
lucena,,
almoguera,,
macrera,,
matrera,,
sedia del diavolo,,
palaistra kerkyonos,,
ponte dei quattro capi,,
tul?l al-kh?ldiyah,,
essa,,
canatha alia,,
canatha,,
farah bala hisar,,
speluncae,,
chonacara,,
leucas ad chrysorhoan,,
demetrias,,
iovis m.,,
iob,,
dathema,,
leontopolis,,
cilicon aulon,,
sourattha,,
goharieni,,
antiochia sub libano,,
basienisa,,
neapolis,,
bathyra,,
arlane,,
otthara,,
getta,,
eutime,,
eutimia,,
hierapolis,,
enganna,,
ormiza,,
arsinoe en auloni,,
garis,,
mariamme,,
bascama,,
basca,,
alsadamus m.,,
porphyreon,,
ampeloessa,,
manena,,
gaba,,
leon,,
calamona,,
aenos,,
ina,,
dion,,
diospolis,,
constantia,,
constantine,,
zebud,,
diafenes,,
rhose,,
alema,,
castra samaritanorum,,
leuke kome,,
temple of ishtar at mari,,
ipogeo di san manno,,
castelvecchio (san gimignano),,
theatre of dionysos,,
stoà toû eleutheríou diòs,,
coemeterium maius,,
catacomba maggiore,,
t?rm?l,,
,,
millet mergi,,
roman forum,,
foro siracusano,,
ginnasio romano,,
roman gymnasium,,
ferresanus portus,,
tities,,
kirk göz kemeri,,
el algarve,,
bal?kl?,,
campus agrippae,,
ekitušgarza,,
b?t b?let-eanna,,
egarza,,
ekisaduga,,
esabad,,
b?t gula,,
s?rabt?,,
arsamon,,
fouman,,
foum?n,,
f?man,,
fuman,,
ab? ?ab?,,
abu dhabi,,
abu dhabi,,
ab? ?aby,,
??ful?,,
al-?aff?la,,
merhavy?,,
??ful? ?ir yizr??el,,
?aful? ?ir yizr??el,,
?af?la,,
arb?la,,
castrum faba,,
mer?avy?,,
al-f?la,,
mitanni,,
?anigalbat,,
?anikalbat,,
idku-see,,
?inis,,
?unusa,,
?anusa,,
mašhad,,
san?b??,,
ta?izz,,
red house roman camp,,
gurgume,,
gurgumme,,
gurgum?ja,,
b?t-pa'alla,,
olevano romano,,
tracheotis,,
sidamaria,,
nephelis,,
nephelion,,
philadelpheia,,
salarama,,
thebasa,,
s. thekla,,
platanous,,
magarsa,,
antiochia ad pyramum,,
magarsos,,
karata?,,
platanistes,,
platanistes,,
nagidos,,
syedra,,
syagra,,
thouththourbia,,
nesiazousa pr.,,
sibyla,,
taurus m.,,
taurus,,
toros,,
toros da?lar?,,
tauros,,
taurus,,
toros da?lari,,
taurus mountains,,
syke,,
setos,,
meydanc?k kale,,
meydanc?k kalesi,,
krš,,
kiršu,,
meydanc?kkale,,
potamia,,
melas,,
seleucia ad calycadnum,,
tracheia,,
olosada,,
tahta liman?,,
palaiai,,
palaia,,
philaia,,
sbide,,
tarsus,,
antiochia ad cydnum,,
tarzu,,
iouliopolis,,
antiocheia,,
antiocheia pros kydn?,,
tarša,,
taršiš,,
taršiš,,
tarsos,,
tarson,,
tarsus,,
?arsus,,
?ars?s,,
gözlükule,,
gözlü kule,,
antiocheia in persis,,
tarsisi,,
panhormus,,
pylai,,
orymagdos,,
meloe,,
poseidion pr.,,
mourisa,,
mampsoukrenai,,
mapsoukrenai,,
nampsucrone,,
pyrgos,,
posala,,
mousbanda,,
mousbada,,
sedasa,,
tagai,,
otanada,,
taspa,,
meriana,,
pseudokORasion,,
papirion,,
papiriou castELLUM,,
cherreos eryma,,
selinous,,
selinous,,
traianopolis,,
selinitis,,
olba,,
pargais,,
sarpedonion pr.,,
psaros,,
saros,,
sinarus,,
koiranos,,
tetrapyrgia,,
takourtha,,
pyrgoi,,
marassa,,
rygmanoi,,
nagidoussa,,
nagidousa,,
nesoulion,,
asteria,,
bo?sak adas?,,
mallos,,
antiochia ad pyramum,,
col. mallos,,
mallotis,,
regma,,
rogmoi,,
rhegma,,
mylai,,
manast?r,,
soatra,,
savatra,,
pisourgia,,
titioupolis,,
pityoussa,,
petrossa,,
dana adasi,,
soloi,,
pompeiopolis,,
myous,,
myanda,,
podandus,,
paduwandas,,
paduando,,
mandane,,
melania,,
serretillis,,
serraipolis,,
ninica,,
col. iulia augusta felix,,
claudiopolis,,
pharax,,
sannabadae,,
nauloi,,
rousoumblada,,
zenonopolis,,
zenopolis,,
porta borsari,,
kaystros,,
kestros,,
dionysophanes,,
col. faustinopolis,,
halala,,
imbrioga,,
kietis,,
ketis,,
cietae,,
laertes,,
lamos,,
lamotis,,
elaioussa,,
sebaste,,
isauria,,
corycus,,
hyde,,
hapalla,,
cragus,,
isaura vetus,,
isauropolis,,
lamos,,
lamousia,,
lakainitis,,
lakanitis,,
ilistra,,
dometiopolis,,
kiphisos,,
korna,,
korasion,,
kalon korakesion,,
cilicius aulon,,
cilicium mare,,
cybistra,,
hubušnu,,
hubušn?ja,,
kybistra,,
holmoi,,
hermia,,
kanytelis,,
kanytella,,
klima kotradon,,
didymoi,,
kalamon m.,,
rhodion m.,,
myrsinon m.,,
diocaesarea,,
uzuncaburc,,
klabene,,
kanna,,
kana,,
germanikópolis,,
clibanus,,
herakleia,,
cydnus,,
kokysion,,
liparis,,
krambousa,,
cilicia pedias,,
que,,
qawe,,
qaw?ja,,
quw?ja,,
iuliosebaste,,
heliosebaste,,
laroumada,,
kraunoi pr.,,
derbe,,
claudioderbe,,
lycaonia,,
gorgoromeis,,
kalanthia,,
lystra,,
col. iulia felix gemina,,
kodylessos,,
derbe,,
lauzadeai,,
lauzados,,
cilicia tracheia,,
kilistra,,
lalassis,,
lalasseis,,
epinesia pr.,,
iconium,,
claudiconium,,
col. iulia augusta equestris,,
col. aelia hadriana augusta,,
ikonium,,
ikonium,,
alâettintepe,,
al?ettintepe,,
?onya,,
konya,,
konia,,
ikonion,,
ikkuwanija,,
qonya,,
q?niya,,
alâeddin tepesi,,
isaura nova,,
isaura,,
leontopolis,,
lamos,,
laertes,,
laranda,,
iotape,,
corycium antrum,,
ianouaria pr.,,
lamatorma,,
kennatis,,
kennateis,,
kilikiai pylai,,
cilician gate,,
gülek bogazi,,
eirenopolis,,
propylaia,,
propylaea (acropolis of athens),,
zephyrion,,
tynna,,
dana,,
tyanitis,,
*atuna,,
atun?ja,,
tun?ja,,
tyana,,
col. aurelia antoniniana,,
tyanitis,,
tuw?na,,
?uw?na,,
colonia ant. t.,,
ziga kapl?cas?,,
kemerhisar,,
tyana,,
dana,,
dana,,
al-kan??is,,
?av?na,,
*tu?ana,,
eusebeia,,
eusebeia am tauros,,
tuwannuwa,,
tuwanuwa,,
tuhan?ja,,
trogitis l.,,
su?la gölü,,
lake su?la,,
zephyrion,,
hadrianopolis,,
zephyrion,,
al-qalam?ya,,
mersin,,
mersin,,
yümük tepesi,,
?çel,,
astra,,
antiochia ad cragum,,
guney koy,,
andriklos m.,,
androkos m.,,
maslan da?i,,
barata,,
anemurium,,
augusta,,
augustopolis,,
thebae,,
calycadnus,,
tanais,,
kalýkadnos,,
bernikes kolpos,,
arima,,
krine,,
aphrodisias,,
zephYRION PR.,,
bryklike,,
aquae calidae,,
boratinon,,
karada?,,
arsinoe,,
caena,,
ad fines,,
ardistama,,
akonesiai,,
artanada,,
adana,,
antiochia ad sarum,,
antiocheia,,
?dn,,
antiocheia pros sar?,,
adana,,
adana,,
adana,,
adana,,
a?ana,,
antiocheia am saros,,
atanija,,
a?ana,,
que,,
adrasos,,
asbamaion,,
porto cavaliere,,
aphrodisias,,
ariaramneia,,
rodandos,,
aspenzinsos,,
ano kotradis,,
charadros,,
aulai,,
aleion pedion,,
anchialeia,,
anchiale,,
ingirâ,,
yumuktepe,,
celenderis,,
antiochia castellum,,
house of the four styles,,
casa dei quattro stili,,
i.8.17,,
flavia marci,,
falavi marci,,
khorsabad ziggurat,,
itoana,,
san casciano dei bagni,,
monte sacro,,
ad stabulum,,
bafa gölü,,
mylome,,
iustinianopolis,,
agathe kome,,
oualentia,,
hiera,,
zenoupolis,,
thyessos,,
isbardia,,
iovia,,
tymnessos,,
oualo,,
apollonos hieron,,
eriza,,
sinethandos,,
siniandos,,
kryassos,,
limenai,,
dyrzela,,
zorzela,,
sabaon,,
dias,,
kragos,,
symbra,,
emporion,,
kosara,,
eudoxioupolis,,
salamara,,
elaibaris,,
plyara,,
daseia,,
melanoscopium,,
menedemion,,
kydrara,,
saporda,,
eudokias,,
tarbassos,,
kisthene,,
typallia,,
civitas cillanensium,,
minassos,,
kerdebota,,
kedrebota,,
thabusion,,
gordiouteichos,,
altada,,
obramoa,,
orsolla,,
akarassos,,
themisonion,,
myle,,
canas,,
phylakaion,,
hydrela,,
assur archive 23,,
n 8 archive,,
bash tapa,,
koukonesi,,
templum divi claudii,,
temple of claudius,,
neapolis,,
perminounda,,
podalia,,
buyuksoyle,,
sogle,,
orokenda,,
ptolemais,,
myangla,,
phoinike,,
pedalion,,
ankon pr.,,
praedium plancianum,,
sabandos,,
ouasada,,
sanaos l.,,
ouerbe,,
sagalassos,,
sagalassos,,
oenoanda,,
termessos mikra,,
termessos pros oinoandois,,
wiyanawanda,,
pedalion pr.,,
çukurba?,,
phellos,,
myra,,
prOSTANNA,,
orondeis,,
plinnena,,
perge,,
moron hydor,,
pedaia,,
oktapolis,,
rhotrini fontes,,
aulutrene,,
pappa,,
tiberiopolis,,
rhoge,,
sebastopolis,,
saleia,,
pisarissos,,
olympus,,
phoinikous m.,,
plarasa,,
pamphylia,,
orloanda,,
pyros,,
ormeleis,,
pamphylium mare,,
gulf of antalya,,
antalya korfezi,,
plakoma,,
onobara,,
pinara,,
rhodiapolis,,
rhodia,,
sebeda,,
parlais,,
col. iulia augusta hadriana,,
olbasa,,
col. iulia augusta,,
patara,,
arsinoe,,
pttara,,
arsino?,,
patara,,
patara,,
gelemi?,,
phoinikous,,
sandalion,,
olbia,,
patara,,
[phoinix],,
seleucia,,
claudioseleucia,,
seleucia sidera,,
rhixoupous,,
rhouskopous,,
panemoteichos,,
pisilis,,
panormos,,
pisidia,,
orgas,,
seleukeia,,
morka,,
phoinix,,
pasanda,,
olympus,,
hadrianopolis,,
roma et augustus,,
saraganda,,
orondicus tractus,,
ouiaros,,
bozda?,,
salbake,,
polyetta,,
s. ZIon,,
pharroa,,
ropisa,,
nisa,,
phaselis,,
myros,,
pednelissos,,
nymphaion,,
pogla,,
orpeena,,
orpenna,,
praetoria,,
burdur,,
burdur,,
burd?r,,
sparza,,
terponella,,
solymos,,
selge,,
selgeis,,
tyinda,,
tyberissos,,
sennea,,
sorouda,,
telmessos,,
tyriaion,,
strongyle,,
düver,,
dö?er,,
dü?er,,
tlawa,,
dalawa,,
tlos,,
simena,,
siderous pr.,,
trebenna,,
takina,,
xanthos,,
sirbis,,
siyanti,,
teimioussa,,
tristomon,,
xanthos,,
k?n?k,,
tarbelos,,
trebendai,,
siderous limen,,
posidarisous,,
sinda,,
tityassos,,
sibidounda,,
timeles,,
telandria,,
sidyma,,
trapezopolis,,
trapezopolitae,,
tragalassos,,
sillyon,,
syllio,,
tabai,,
telandros,,
timbriada,,
skiritis,,
side,,
selimiye,,
selemiye,,
sibd?,,
tripolis ad maeandrum,,
apollonia ad maeandrum,,
antoniopolis,,
tauros,,
xenagori,,
telmedius,,
tynada,,
soura,,
tenedos,,
trysa,,
seroiata,,
solyma,,
tetrapyrgia,,
solymeis,,
sia,,
trogitis l.,,
trogitis,,
termessos,,
tymbrianassos,,
syneta,,
telmessias pr.,,
abul mušl?lum,,
step gate,,
asakki stairway gate,,
mushlalu gate,,
muš??ât-š?r-asakki,,
graecostadium,,
kurucay hoyuk,,
casa degli attori,,
casa dei mimi,,
assur archive 51,,
n 2m archive,,
kudachurt,,
tell el-'oueili,,
civita del fosso di arlena,,
civita d'arlena,,
singa,,
salius,,
castabola,,
cilissa,,
ingilissis,,
incilissa,,
kaparkelis,,
claudias,,
claudiopolis,,
apenzinsos,,
dastarkon,,
dandaxina,,
dandexina,,
ad praetorium,,
attagaina,,
borissos,,
arianodum,,
argos,,
blandi,,
asarinum,,
artaxata,,
azamora,,
arsanus,,
coeranus,,
monastery of saint simeon,,
chamlidere,,
eusimara,,
phousipara,,
zenokopis,,
nocotesso,,
orphanene,,
orpanene,,
orbisene,,
mallos,,
orsa,,
orsene,,
spania,,
hispa,,
ispa,,
nosalene,,
kanotala,,
sandrales,,
sandiale,,
kritalla,,
laugasa,,
laustasa,,
zoparistos,,
sadagena,,
karape,,
phouphagena,,
phouphena,,
karmalas,,
sabagena,,
zomeri,,
euesa,,
euaissa,,
seioua,,
siva,,
lerisus,,
pacosanda,,
ladoineris,,
pasarne,,
kizara,,
dasteira,,
dogana,,
pisingara,,
korsagaina,,
phargamous,,
larissa,,
tynna,,
garnake,,
mogariassos,,
oromandros,,
getasa,,
titarissos,,
sinervas,,
sinibra,,
sinera,,
iassos,,
klimax,,
lyrna,,
megiste,,
lycus,,
kolobatos,,
melanoscope,,
manava,,
krya,,
crya,,
katarraktes,,
kynosarion,,
kymaria,,
katenneis,,
kendema,,
kretopolis,,
marmara,,
melas,,
kolybrassos,,
megiste,,
lycium mare,,
lyrbe,,
klimax,,
dö?eme bo?azi,,
men karou,,
malgasa,,
karmylessos,,
legeita,,
kilaraza,,
moatra,,
madamprus,,
limyra,,
kormasa,,
palaiopolis,,
korydalla,,
limnai,,
mokolda,,
me?ri ada,,
zeytin adasi,,
macris,,
makra,,
killanion pedion,,
cillanicus tractus,,
civitas cillanensium,,
lebissos,,
karoura,,
kibyra mikra,,
kotenna,,
malos,,
milyadeis,,
laodicea ad lycum,,
diospolis,,
roas,,
karpasyanda,,
keretapa,,
diokaisareia,,
korydela,,
magydos,,
magastara,,
milyas,,
f??la burnu,,
fidan burnu,,
leucolla pr.,,
leukotheion pr.,,
kibyratis,,
korba,,
lissa,,
kissidai? pr.,,
kissidai,,
kitanaura,,
lysis,,
limyros,,
korma,,
kidrama,,
letoon,,
mistea,,
klaudiokaisareia,,
mistheia,,
makron pedion,,
korykos,,
sandak da?,,
sand?k da??,,
kragos,,
kestros,,
karysis,,
lagussa,,
kaisar,,
kydna,,
pydnai,,
komba,,
lycia,,
lysinoe,,
lysinia,,
lagbe,,
kasai,,
krasos pr.,,
lyrba,,
marsyas,,
melanippeia,,
kodroula,,
kolbasa,,
melanippion,,
lydai,,
masikytos m.,,
mons masicytus,,
keraia,,
kastellon,,
lyrnateia,,
lyrnas,,
lyrnessos,,
lounda,,
korakesion,,
kyaneai,,
kazanes,,
agade,,
akkade,,
akkad,,
akkadu,,
balboura,,
artemision pr.,,
artemision akra,,
arykanda,,
aunesis,,
brioula,,
boubon,,
karakuyu gölü,,
çapali göl,,
çapal? bataklik,,
aulutrene,,
aulocrene l.,,
antikragos,,
apamea,,
kelainai,,
kibotos,,
arymaxa,,
artymnissos,,
perdikiai,,
aloanda,,
aulutrena,,
caularis,,
akroterion pr.,,
araxa,,
chelidoniae,,
be? adalar,,
aspendos,,
primoupolis,,
chelidon,,
aspis,,
ariassos,,
akalissos,,
amblada,,
amlada,,
apollonia salbakes,,
attalea,,
antalya,,
an?alya,,
an??liy?,,
an??liy?,,
an??liya,,
ant?liya,,
?ad?liya,,
adalya,,
attaleia,,
aulindenos l.,,
alina,,
anaboura,,
apollo,,
ascanius l.,,
ascania l.,,
arnabanda,,
agrai,,
apollonia,,
mordiaion,,
sozopolis,,
aporidos come,,
aedesa,,
arneai,,
asopos,,
sahilkil?nçl?,,
kiliçli,,
s?çak,,
apollonia,,
anaua,,
sanaos,,
alassos,,
augai,,
hisar köyü,,
attouda,,
caunus,,
arsada,,
adada,,
antiochia ad maeandrum,,
bindaios,,
arycandus,,
andeda,,
aperlae,,
aphrodisias,,
ninoe,,
stauropolis,,
lelegon polis,,
aphrodeisias,,
andriake,,
arykanda,,
axon,,
baris,,
hamidabad,,
baris,,
isparta,,
isparta,,
?spar?a,,
?sparta,,
?sparta,,
antiphellos,,
habesos,,
hyia,,
eukereia,,
yedi burun,,
hiera akra,,
kragos pr.,,
daidala,,
euxine,,
chimaera,,
yanartas,,
hemalissoi,,
glaucus,,
cremna,,
col. iulia augusta felix,,
kremna,,
cypriae,,
gagai,,
palaion teichos,,
choma,,
hacimusalar,,
karalis l.,,
lake beysehir,,
karalis,,
bey?ehir gölü,,
kabalis,,
damasei,,
istlada,,
eunias nemus,,
homonadeis,,
imbros,,
kagrai,,
elbessos,,
kallimache,,
gölhisar,,
horzum,,
kibyra,,
cibyra,,
hamaxia,,
comama,,
col. iulia augusta pRIMA FIDA,,
idebessos,,
etenna,,
dionysias,,
krambousa,,
ision,,
korkuteli,,
alaeddin mahallesi,,
alaettin mahalle,,
stenez,,
istanoz,,
k??la,,
isinda,,
eudokias,,
conana,,
iustinianopolis,,
glaukos,,
telmessicus sinus,,
hadrianopolis,,
hadriani,,
kozp?nar,,
?erefler,,
kalynda,,
calynda,,
eleinokapria,,
kaklouma,,
kandyba,,
kadmos,,
belenli,,
isinda,,
dolichiste,,
kekova,,
kalabantia,,
kalabatia,,
idyros,,
kalbis,,
idyros,,
erymna,,
indus,,
kadyanda,,
colossae,,
kolossenos,,
karallia,,
eurymedon,,
hippoukome,,
herakleia salbakes,,
chelidonium pr.,,
hiera akra,,
tauri pr.,,
cape gelidonya,,
kapria l.,,
kAbalitis l.,,
kadmos,,
kapros,,
chimaera,,
hephaistion,,
daidala,,
hierapolis,,
eurymedon,,
didymae,,
karkabo,,
acropolis of athens,,
ii.2.4,,
house of messius ampliatus,,
nayrab,,
n?rabu,,
naiyrab,,
kumar,,
nu-x-ù,,
b?b-lugalerra,,
verbovski? mogil?nik,,
house of mikion and menon,,
hajar el hibla,,
qaqqar-arad?tu,,
tell djassa,,
marduk gate,,
abul-marduk,,
šu?âšu-r??i,,
chirik-rabat,,
sepolcro di aulo irzio,,
kiakis,,
chiaca,,
kiaka,,
osdara,,
asdara,,
sabus,,
scordiscus m,,
kataonia,,
pagrum,,
lykandos,,
lapara,,
tanadaris,,
ptandaris,,
sargaurasana,,
sargarausene,,
kokousos,,
laouiansene,,
maroga,,
sarromaena,,
sabrina,,
omma,,
kiskisos,,
phlabianai,,
moutalaske,,
[korakesios],,
siniskolon,,
sinis colonia,,
pisonos,,
koloneia,,
sinispora,,
melas,,
sibora,,
foroba,,
sobara,,
mazaka,,
kurtlu tepe,,
cengerli,,
sebasteia,,
megalopolis,,
talaura,,
sivas,,
sivas,,
s?v?s,,
s?v?š,,
sebasteia,,
??ri?a,,
maltepe,,
s?ri?a,,
šamu?a,,
s?w?s,,
s?w?s,,
topraktepe,,
šana?wita,,
sanachwitta,,
mazaka,,
eusebeia,,
caesarea,,
?ay?eriye,,
kayseri,,
qais?riya,,
mazaca cesarea,,
kouloupene,,
colopene,,
sermousa,,
sermusa,,
seRMOuga,,
melitene,,
siricis,,
saricha,,
korax,,
miasena,,
mesena,,
phiara,,
siara,,
simos,,
karnalis,,
komaralis,,
skandos,,
korne,,
tomisa,,
semissos,,
samma castorum,,
sama castorum,,
melas,,
tonosa,,
sebastopolis,,
herakleopolis,,
karana,,
sulusaray,,
preion,,
melitene,,
xii fulminata garrison,,
melidu,,
malitija,,
melit?n?,,
meliddu,,
melit?na,,
melitena,,
mala?ya,,
mala?iya,,
mala??ya,,
mala??yah,,
malatya,,
mala?ya,,
mlz,,
r?manopolis,,
rh?manopolis,,
arslantepe,,
eski malatya,,
malid?ja,,
melid?ja,,
melidd?ja,,
skylax,,
teucila,,
sartona,,
makelle,,
symposion,,
in medio,,
saraouene,,
taranta,,
sobagena,,
ouarsapa,,
malandara,,
mardara,,
leugaisa,,
lagalasso,,
roman fortlet at ince,,
karama?ara köprüsü,,
kara magara kopru,,
zimara,,
sismara,,
zizoatra,,
zoana,,
zara,,
sara,,
vereuso,,
house of the garden of hercules,,
house of the perfumer,,
casa del profumiere,,
casa del giardino di ercole,,
ii.8.6,,
sultan ahmed mosque,,
basilica ulpia,,
amphissa tholos,,
tholos ampfissas,,
tholosgrab von amfissa,,
thasarte,,
turkdean,,
tall marw?ny,,
k?y s?nj?q,,
khirBET RUMAH,,
horvat ruma,,
arumâ,,
ponte fratto,,
basilica di santa pudenziana,,
assur archive 26,,
n 11 archive,,
assur archive 15,,
n 1 archive,,
assur archive 18,,
n 2 archive,,
forum of cosa,,
arane,,
aranda,,
arangae,,
archalla,,
archelais,,
in medio,,
gundusa,,
herpa,,
erpha,,
herpha,,
erpa,,
gauraina,,
til-garimmu,,
cilicia,,
euspena,,
armenia minor,,
ablastha,,
kabassos,,
kabissos,,
chosomachon,,
comana,,
hierapolis,,
chryse,,
ad aras,,
ariaratheia,,
dascusa,,
daseusa,,
dagousa,,
analibla,,
analiba,,
bubalia,,
dalana,,
daranalis,,
darnalis,,
anisa,,
